form;remain;person;quantity;person;number;0.885;0.0;4.756;4.89
damage;take;;;;;0.898;0.0;4.748;4.653
increase;weaken;convection;shear;person;trend;0.897;0.0;4.747;5.302
leave;remain;;;;;1.218;0.0;4.745;2.216
move;drop;person;westward;storm;rainfall;0.747;0.0;4.736;4.308
cross;strike;;;;;1.259;0.0;4.725;4.384
record;die;station;wind;people;person;1.255;0.0;4.72;5.191
remain;pass;;;;;1.176;0.0;4.703;3.531
strike;bring;earthquake;country;storm;rain;0.96;0.0;4.697;4.968
pass;produce;;;;;0.731;0.0;4.682;4.875
hit;bring;earthquake;country;storm;rain;1.216;0.0;4.682;3.899
record;flood;;;;;1.061;0.0;4.672;8.98
replace;retire;organization;person;organization;name;6.289;0.514;4.659;5.495
strike;damage;;;;;0.387;0.0;4.635;6.419
weaken;drop;person;trend;storm;rainfall;0.695;0.0;4.627;6.468
reach;increase;;;;;0.984;0.0;4.622;3.883
leave;include;storm;people;person;organization;1.037;0.0;4.62;2.012
take;continue;;;;;0.856;0.0;4.617;2.105
issue;bring;organization;warning;storm;rain;0.664;0.0;4.615;4.961
issue;extend;;;;;4.058;0.036;4.61;7.09
occur;touch;earthquake;quantity;tornado;southwest;1.117;0.0;4.583;6.484
inundate;flood;;;;;4.769;0.039;4.578;8.341
weaken;dissipate;person;trend;person;mi;2.062;0.02;4.574;13.216
intensify;dissipate;;;;;0.302;0.0;4.565;9.92
classify;continue;organization;system;person;westward;0.983;0.0;4.538;6.168
weaken;produce;;;;;-0.054;0.0;4.521;7.36
track;pass;person;northwestward;person;quantity;0.961;0.0;4.516;5.917
dissipate;kill;;;;;0.321;0.0;4.511;8.999
continue;enter;person;westward;person;area;1.075;0.0;4.509;4.239
attain;dissipate;;;;;0.819;0.0;4.508;10.445
issue;discontinue;organization;warning;person;advisory;3.851;0.029;4.496;9.994
move;receive;;;;;0.952;0.0;4.478;3.645
continue;drop;person;westward;storm;rainfall;0.941;0.0;4.467;3.558
sustain;reach;;;;;0.987;0.0;4.452;5.733
move;bring;person;westward;storm;rain;0.243;0.0;4.447;3.938
intensify;make;;;;;0.917;0.0;4.444;5.078
increase;occur;convection;shear;earthquake;quantity;0.964;0.0;4.429;4.865
strengthen;dissipate;;;;;0.574;0.0;4.425;9.507
fall;kill;quantity;tree;person;people;0.679;0.0;4.416;3.976
bring;destroy;;;;;0.475;0.0;4.407;5.374
move;designate;person;westward;organization;system;0.707;0.0;4.371;5.666
drop;destroy;;;;;0.813;0.0;4.368;6.233
touch;move;tornado;southwest;person;westward;0.771;0.0;4.355;5.071
take;affect;;;;;0.888;0.0;4.354;3.405
form;pass;person;quantity;person;quantity;0.435;0.0;4.348;5.611
record;include;;;;;0.84;0.0;4.337;3.612
pass;bring;person;quantity;storm;rain;0.878;0.0;4.312;3.5
kill;drown;;;;;3.929;0.016;4.304;8.047
drop;damage;storm;rainfall;wind;home;0.83;0.0;4.295;6.46
track;strike;;;;;0.73;0.0;4.285;6.756
