archive;retrieve;nhc;version;person;body;10.743;1.0;14.694;8.451
want;beware;;;;;10.455;0.529;14.066;5.166
tend;delimit;cyclone;farm;date;period;8.452;0.163;12.871;8.225
revise;determine;;;;;8.21;0.075;12.101;4.384
accumulate;speak;water;cyclone;person;language;8.069;0.103;12.413;6.071
multiply;reflect;;;;;7.9;0.183;12.982;7.502
accumulate;multiply;water;cyclone;loss;dike;7.783;0.077;12.126;7.457
replace;rotate;;;;;7.756;0.044;11.562;4.841
reflect;speak;this;activity;person;language;7.494;0.061;11.888;3.647
select;retire;;;;;7.278;0.023;10.942;4.174
donate;match;organization;money;organization;donation;7.237;0.035;11.348;4.55
have;judge;;;;;7.013;0.018;10.702;8.189
reside;live;people;radius;people;storm;6.914;0.019;10.721;3.597
pledge;donate;;;;;6.887;0.016;10.576;4.427
drain;lie;water;water;country;area;6.753;0.011;10.187;5.226
donate;collect;;;;;6.659;0.014;10.443;3.73
associate;summarize;person;convection;table;system;6.608;0.01;10.104;7.303
design;build;;;;;6.526;0.009;9.96;0.43
exist;reflect;cyclone;problem;this;activity;6.488;0.046;11.594;4.769
retire;prove;;;;;6.413;0.012;10.305;4.5
accumulate;exist;water;cyclone;cyclone;problem;6.409;0.021;10.816;6.073
burn;extinguish;;;;;6.391;0.011;10.219;4.863
burn;light;fire;quantity;earthquake;fire;6.391;0.008;9.825;3.759
burn;consume;;;;;6.391;0.016;10.565;5.011
denote;relate;griffin;warning;organization;death;6.338;0.008;9.865;6.928
retire;replace;;;;;6.237;0.077;12.118;3.652
measure;centre;quake;number;person;earthquake;6.212;0.01;10.062;8.35
battle;contain;;;;;6.188;0.006;9.654;5.021
determine;contribute;organization;epicentre;organization;money;6.172;0.007;9.756;3.2
slip;lie;;;;;6.147;0.007;9.758;4.645
dispatch;assist;organization;team;organization;victim;6.142;0.006;9.576;4.676
speak;exceed;;;;;6.039;0.015;10.493;5.958
ignite;burn;fire;fire;fire;quantity;6.008;0.024;10.935;5.179
offer;donate;;;;;5.993;0.007;9.8;3.2
burn;battle;fire;quantity;firefighter;blaze;5.957;0.009;10.017;5.264
longitude;expect;;;;;5.867;0.006;9.651;8.284
publish;retire;person;date;organization;name;5.794;0.006;9.601;3.643
control;burn;;;;;5.752;0.006;9.624;4.401
multiply;exceed;loss;dike;damage;quantity;5.752;0.011;10.207;7.568
want;go;;;;;5.688;0.004;9.185;-2.11
submit;name;organization;report;organization;storm;5.672;0.006;9.604;4.371
publish;assign;;;;;5.635;0.007;9.712;5.081
erupt;flow;volcano;volcano;water;river;5.632;0.004;9.098;6.02
judge;assign;;;;;5.578;0.009;9.922;5.899
repair;restore;worker;damage;power;power;5.531;0.006;9.574;3.333
assign;have;;;;;5.506;0.008;9.913;8.907
deploy;assist;organization;team;organization;victim;5.477;0.006;9.651;6.372
fight;contain;;;;;5.466;0.005;9.316;4.019
end;feature;season;drought;date;cyclone;5.457;0.005;9.307;3.53
ask;know;;;;;5.455;0.004;9.119;-0.623
